country,country_code,indicator,indicator_code,year,value
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,8972.69636535698
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,9197.66196836987
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,8958.42866697173
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,8831.26975996609
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,8745.16621137404
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,9231.37240924563
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,10030.8089130902
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,12156.0293905777
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,10375.1720141957
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,10383.459331451
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,11745.4899153958
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,11813.5022034589
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,12026.3344929488
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,12727.4102651386
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,12843.3342903627
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,11863.6839452565
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,12552.0546868861
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,12886.1359517218
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,14489.2586563775
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,15236.1604875571
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,18017.4589383973
