country,country_code,indicator,indicator_code,year,value
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,81.0363790186125
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,80.9753036437247
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,79.5882567469001
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,79.4659510231466
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,80.8553826199741
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,79.0896322626048
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,79.3222468949744
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,79.3752598456588
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,77.40907252334
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,76.456580991723
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,75.541061032835
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,73.7471756386862
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,72.0518850702006
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,73.1525399615721
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,75.7664029190885
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,78.5445335192497
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,77.4233295663828
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,79.5391289840283
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,80.1808205902658
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,80.2286442466312
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,79.1390533682379
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,78.731130541331
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,78.987879571807
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,79.7291610181486
Aruba,ABW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,78.327443703031
