country,country_code,indicator,indicator_code,year,value
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-41287339.7507603
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-36165024.2728363
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-95230130.7151637
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-70059475.0525303
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-11489495.7983193
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-69444226.8249421
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-33275378.9796943
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-59608454.3644824
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-28115989.7849905
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-16884183.4462969
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,10446132.7487663
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-40010349.6873073
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,6129686.08465521
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-48635466.082532
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-21105733.6142841
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-50162533.186557
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-36713166.2826267
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-3284988.16813338
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-23902939.1660971
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-32368607.5029521
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-5698160.23298074
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-133539415.109128
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-111307028.885154
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-259356226.222548
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-161180586.838638
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-300982004.173613
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-283583270.335852
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-261157248.520261
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-258429277.175128
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-428776613.51912
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-357906530.393241
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-327359891.832287
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-373554173.313345
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-389174672.329406
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-392743855.172598
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-344687675.667275
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-393879528.96246
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-621969189.863171
Burundi,BDI,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-625597355.891953
