country,country_code,indicator,indicator_code,year,value
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1970,17.76016874538
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1971,18.9850703092159
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1972,21.4652194448818
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1973,18.2273938518011
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1974,19.5078982695526
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1975,19.4638747372009
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1976,20.5786077009794
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,19.2939474250277
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,20.6109580610448
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,20.2521274496022
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,23.2425334096845
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,23.960891689656
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,25.6290163395109
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,25.4615629160126
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,23.6605427727615
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,23.1499160608397
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,25.0907063359597
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,25.4671540156219
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,25.854544497381
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,23.4006438727418
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,22.9871362403161
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,23.348497862179
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,22.6814595877393
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,22.3513572629769
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,26.7703796531697
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,28.4609699957859
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,28.1245516913721
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,32.5720828471412
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,33.4982258870565
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,35.7133948177426
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,32.1289977027999
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,34.998612766489
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,35.5059476836453
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,33.826561596154
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,33.9799370317603
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,34.0146526694939
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,35.7022673486526
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,39.9188675811784
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,38.3214407743236
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,37.8394521765596
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,36.9511248689049
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,37.9941508064808
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,38.8495890200953
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,36.0237756562607
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,39.1278229696112
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,49.3716359599916
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,47.6730845453259
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,49.3337056167763
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,49.1149832347859
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,47.8275400006599
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,45.4797099998811
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,44.8054600004096
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,45.3736001011007
Burundi,BDI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,49.0085334365417
