country,country_code,indicator,indicator_code,year,value
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,220.074550221277
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,197.080395165053
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,235.127290601122
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,376.383370020937
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,169.949259765221
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,232.037397382746
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,252.770361839944
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,183.291086454789
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,205.645995783134
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,257.144636724402
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,242.219759763837
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,270.336629028245
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,290.511803326089
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,360.562591604638
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,428.074954493294
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,444.693899464352
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,408.42239095403
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,509.488368681423
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,615.084195317772
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,582.089432219357
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,538.911839414196
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,455.912227033575
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,481.7409782053
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,376.285479915589
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,259.801889543739
