country,country_code,indicator,indicator_code,year,value
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,17.679
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,18.911
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,20.21
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,21.575
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,23.007
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,24.5
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,25.206
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,25.926
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,26.659
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,27.404
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,28.163
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,28.934
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,29.719
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,30.513
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,31.321
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,32.229
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,33.594
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,34.983
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,36.4
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,36.614
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,36.829
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,37.044
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,37.26
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,37.476
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,37.693
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,37.91
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,38.127
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,38.346
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,38.608
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,38.976
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,39.345
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,39.716
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,40.088
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,40.461
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,40.835
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,41.21
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,41.587
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,41.964
