country,country_code,indicator,indicator_code,year,value
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2005,31.3733025877534
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2006,34.6952705997072
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2007,18.1755656108597
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2008,23.065612938798
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2009,4.68438868976504
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,15.0502688559001
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011,21.3169268542577
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012,15.2262941038638
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013,11.8875884481828
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,6.1505055670642
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,11.7800825029834
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,8.17268112275132
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,8.91435947913097
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,9.82761701259191
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,9.47001039253012
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,10.6016203387167
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,12.5972882566934
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,10.4930409984424
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,7.80497591927973
Guinea,GIN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024,8.12313914948596
