country,country_code,indicator,indicator_code,year,value
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,-1.74623815710751
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,1.56299237392687
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,1.09215017084013
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,3.08145601867274
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,4.47210147080726
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,3.18627450998763
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,1.78423465718738
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,2.09184098667308
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,1.86122448972086
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,1.25821445737097
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,2.8808864266098
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,2.22324794223759
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,3.61228175799332
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,5.19320162691133
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,12.8495477454187
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,8.3761625062971
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,4.88341895790898
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,8.43470771895128
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,5.74832464618229
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1979,12.1353558926061
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1980,18.0615430355956
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1981,9.40569126142496
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1982,8.98262170616892
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1983,8.2528116584826
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1984,4.72636815920389
Honduras,HND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1985,3.36267523608605
