country,country_code,indicator,indicator_code,year,value
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1960,4199134389.90099
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1961,4426949094.83828
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1962,4693566416.48845
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1963,4928628018.38944
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1964,5379845647.69637
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1965,6197319929.0429
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1966,6789938671.74918
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1967,7555383690.16502
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1968,8623172959.89439
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1969,9743089607.49835
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1970,10976245153.5842
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1971,13731802833.0379
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1972,17153463263.1023
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1973,27081698249.5137
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1974,46209092072.1331
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1975,51776222349.8812
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1976,68055295080.7542
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1977,80600122701.9652
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1978,77994316621.4828
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1979,90391877325.9312
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1980,94362275580.021
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1981,100499312749.922
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1982,125948756439.48
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1983,156365156618.242
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1984,162276728619.519
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1985,180183629599.683
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1986,209094561833.481
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1987,134009995923.166
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1988,123057861333.91
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1989,120496362916.27
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1990,124813263926.226
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1991,131637664957.524
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1992,119768691216.667
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1993,63743623231.2312
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,1994,71841461172.2365
