country,country_code,indicator,indicator_code,year,value
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1960,42012422612.3955
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1961,46649487320.4225
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1962,52413872628.0045
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1963,60035924617.9277
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1964,65720771779.4768
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1965,70717012186.1774
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1966,76622444787.3696
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1967,84401995573.2456
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1968,91485448147.84
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1969,100996667239.335
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1970,113656669764.56
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1971,124959712858.926
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1972,145594833997.344
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1973,175896529392.229
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1974,200024444775.231
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1975,228220643534.994
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1976,225235205861.828
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1977,258190019749.835
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1978,315784469541.41
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1979,394584507107.9
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1980,478356755595.749
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1981,431695533980.583
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1982,428257421617.752
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1983,444063496940.337
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1984,438896930791.272
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1985,453259761687.456
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1986,641862313287.44
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1987,807570134448.76
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1988,893663934840.821
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1989,930801709003.669
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1990,1183945130898.51
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1991,1249092439519.28
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1992,1323204350353.5
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1993,1067412587670.73
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1994,1101750159702.21
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1995,1177369428265.78
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1996,1314776508972.27
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1997,1244988176443.84
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1998,1272729786996.77
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1999,1255004736463.98
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2000,1149661363439.38
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2001,1172041488805.87
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2002,1281746271196.04
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2003,1582930016538.82
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2004,1812808753294.75
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2005,1864982261286.85
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2006,1958563654385.64
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2007,2222524108127.65
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2008,2417508414187.19
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2009,2209484319012.65
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2010,2144936254535.0
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2011,2306974020278.21
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2012,2097929495121.68
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2013,2153225581941.46
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2014,2173255507985.84
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2015,1845428048839.1
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2016,1887111188176.93
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2017,1970720904584.71
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2018,2099435266458.67
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2019,2019606796583.53
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2020,1907481094079.23
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2021,2179207773596.09
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2022,2104067630319.46
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2023,2304605139862.79
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2024,2372774547793.12
