country,country_code,indicator,indicator_code,year,value
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1987,38.9836175763027
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1988,37.0298265486898
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1989,34.5481838506074
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,29.3815279416424
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,29.989809615913
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,28.3520936553481
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,32.8393003839003
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,32.4697312382568
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,29.9502068794802
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,32.7934458348248
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,39.5241854052046
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,34.5891630169063
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,33.8081330632239
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,33.5705130432795
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,34.5229646631857
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,33.9309940923832
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,32.2116887649573
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,33.4334267323825
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,36.4290168214
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,41.4598246118822
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,46.4898542993369
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,52.1796396677431
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,42.5411688089885
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,40.7961669316991
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,40.0545811100607
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,42.7084395082867
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,38.3219218166396
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,38.2440406780839
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,40.5844628063288
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,39.7153423495164
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,39.2496841795946
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,39.246346848746
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,43.2884148425526
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,38.1052609182179
Lesotho,LSO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,40.2346112050868
