country,country_code,indicator,indicator_code,year,value
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,71.5100464395862
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,71.3347271038395
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,69.3767473209583
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,73.9369636489505
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,72.9476717255104
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,72.9172476508033
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,75.4520947009994
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,77.9586155003762
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,78.6161594202899
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,77.0531424581006
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,76.4588704318937
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,76.7916098226466
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,76.2601851851852
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,71.7093109869646
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,69.3441091120139
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,67.2539014941893
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,67.7777360515021
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,70.9195698924731
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,75.7413718018508
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,71.6852824578791
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,71.9682732802995
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,72.5014545454545
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,69.792314297982
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,68.8931761786601
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,64.6393588258015
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,69.7106550907656
Marshall Islands,MHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,70.4693019668338
