country,country_code,indicator,indicator_code,year,value
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1990,449099.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1991,455806.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1992,463573.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1993,471016.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1994,479845.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1995,486189.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1996,493166.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1997,501010.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1998,507577.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,1999,514629.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2000,519717.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2001,514388.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2002,526227.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2003,552982.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2004,543713.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2005,553847.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2006,557780.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2007,556648.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2008,563956.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2009,571049.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2010,584117.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2011,581250.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2012,588857.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2013,603297.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2014,610180.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2015,618312.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2016,615224.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2017,621819.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2018,619649.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2019,628757.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2020,593579.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2021,565266.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2022,598345.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2023,595664.0
Mauritius,MUS,"Labor force, total",SL.TLF.TOTL.IN,2024,594884.0
