country,country_code,indicator,indicator_code,year,value
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1972,10.0884955752212
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1973,10.4196816208394
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1974,11.6666666666667
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1975,12.5454545454545
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1976,13.1291028446389
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1977,12.9799891833423
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1978,12.665810868635
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1979,13.1681877444589
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1980,10.8727927753789
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1981,12.5715096423131
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1982,21.9555277627216
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1983,21.0400371351857
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1984,18.6583824181826
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1985,20.5296047827758
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1986,24.9047140489714
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1987,27.3304925649998
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1988,23.8001334738819
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1989,19.3417071229285
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,16.9185752446421
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,13.7726786972721
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,13.3620544020174
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,10.2683902740318
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,10.4048304675777
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,11.2843739325154
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,11.1115718036612
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,11.6803142419908
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,10.5415915970242
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,11.3750713431398
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,12.0964929315521
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,20.5779680774514
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,20.4815497561358
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,20.8740737942661
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,20.9324326043308
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,20.6909750829168
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,20.9971763620163
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,20.8689511506401
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,20.3281994162596
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,19.8664920928197
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,19.8697097115272
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,19.8103353511537
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,21.6980704220947
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,20.8923836619005
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,22.3129296276289
Mexico,MEX,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,22.4670700946052
