country,country_code,indicator,indicator_code,year,value
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,65.2271170148582
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,23.7308017228247
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,24.4003792949576
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,25.1735429554863
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,11.3108693464913
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,10.9220556021652
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,10.8033504453157
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,11.2951967628368
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,11.4481781790853
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,12.6829708019482
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,12.6932348217074
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,14.4152064453334
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,12.2011228136227
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,13.1526926178979
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,12.9236679174998
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,13.7175631014426
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,15.0780416164565
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,14.6943744947364
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,15.2074462017809
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,15.4973914365244
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,14.9932542908436
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,14.9750872878552
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,15.2288833117977
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,15.0906993541647
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,15.427774613121
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,15.9243152832014
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,16.3937935774342
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,16.5222655263554
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,16.8472541808642
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,16.4517837773692
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,16.416309030407
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,17.1781547228679
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,16.6889216424618
Nicaragua,NIC,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,16.2819508478816
