country,country_code,indicator,indicator_code,year,value
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,10982251.8998382
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,9660212.86654833
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,9489045.18796861
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,11999863.525294
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,8129879.02308608
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,11653483.8806717
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,12838117.9799593
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,15018258.4452727
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,14380359.0211938
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,19082656.5391827
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,14753012.0604582
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,13325000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,14059000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,13790000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,10918000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,4315000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,1065000.0
Palau,PLW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,2098000.0
