country,country_code,indicator,indicator_code,year,value
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,41.1601229958445
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,42.4652017879367
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,42.2889560914196
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,45.2637670895921
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,44.1440002030136
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,47.0232947143647
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,49.6021773873939
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,50.4989633986372
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,44.4755050929294
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,43.2810108554466
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,43.430656678982
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,41.5021183585627
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,41.6473438003943
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,41.8361672652699
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,44.0310760674396
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,42.6087360883136
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,38.9579007220385
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,42.0273807046412
Papua New Guinea,PNG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,41.4589603541808
