country,country_code,indicator,indicator_code,year,value
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1973,8.63114789471918
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1974,10.1813104856358
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1975,7.52131880293373
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1976,9.90625535512987
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1977,10.901857372713
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1978,9.71992482034203
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1979,11.7021939827298
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1980,10.4676359309849
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1989,10.8269292690858
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,8.78380627032784
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,9.26006396078645
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,9.04825873562898
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,12.947629272471
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,13.2938948827544
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,14.4161495047057
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,13.4513713908946
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,14.2497109124285
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,14.6053573065033
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,15.0744687955714
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,14.4637097884958
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,13.6800512034657
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,13.5080695457144
