country,country_code,indicator,indicator_code,year,value
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,32.1574472029956
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,33.3783061398683
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,33.3203093707523
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,44.6270962929415
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,44.4229734423929
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,43.6902957275516
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,43.9831561458944
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,42.5094777219212
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,39.9951581291865
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,41.1003969206339
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,46.3540530961616
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,47.3581596491482
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,48.809028972781
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,47.4901246961825
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,54.5726819204219
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,47.5336371357467
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,46.7222084667928
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,44.6747700849883
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,42.2981039649573
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,41.1450376558141
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,40.7895004063214
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,49.1075307851423
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,46.6165984713657
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,43.5327700809559
Slovenia,SVN,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,42.9407083105927
