country,country_code,indicator,indicator_code,year,value
Slovenia,SVN,"Population, total",SP.POP.TOTL,1960,1584720.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1961,1594131.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1962,1603649.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1963,1616971.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1964,1632114.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1965,1649160.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1966,1669905.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1967,1689528.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1968,1704546.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1969,1713874.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1970,1724891.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1971,1738335.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1972,1752233.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1973,1766697.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1974,1776132.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1975,1793581.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1976,1820249.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1977,1842377.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1978,1862548.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1979,1882599.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1980,1901315.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1981,1906531.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1982,1910334.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1983,1922321.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1984,1932154.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1985,1941641.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1986,1965964.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1987,1989776.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1988,1995196.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1989,1996351.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1990,1998161.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1991,1999429.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1992,1996498.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1993,1991746.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1994,1989443.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1995,1989872.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1996,1988628.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1997,1985956.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1998,1981629.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1999,1983045.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2000,1988925.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2001,1992060.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2002,1994530.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2003,1995733.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2004,1997012.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2005,2000474.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2006,2006868.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2007,2018122.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2008,2021316.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2009,2039669.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2010,2048583.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2011,2052843.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2012,2057159.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2013,2059953.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2014,2061980.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2015,2063531.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2016,2065042.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2017,2066388.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2018,2073894.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2019,2088385.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2020,2102419.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2021,2108079.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2022,2112076.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2023,2120461.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,2024,2126324.0
