country,country_code,indicator,indicator_code,year,value
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1975,28539012.0439868
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,25785689.5533332
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,28608919.0338021
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,35368517.4410286
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,58431968.5274481
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,74111811.7772694
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,75847571.7784109
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,59107961.0916285
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,61468363.6603433
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,67597532.1274447
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,71854669.8863038
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,67413149.590144
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,69485638.2204288
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,104633016.142328
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,94277024.1543084
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,77349449.9990115
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,91979003.5914909
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,87428708.0359277
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,136868412.246947
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,142220916.896013
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,154525969.640917
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,150545724.747233
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,184533431.38288
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,159895368.900593
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,110042251.070917
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,92337666.8674839
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,85341092.1017191
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,69133020.4793243
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,93846693.1798594
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,121412036.466767
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,185089309.660751
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,195432485.814686
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,261137691.729286
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,278595411.139029
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,239039382.136265
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,360330983.313382
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,423036437.315093
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,434106326.724154
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,464579248.133868
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,460074616.077359
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,437476638.193205
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,419356622.537373
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,462136305.312078
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,529444049.018945
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,497282604.437512
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,404024803.78208
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,468455948.276452
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,546251467.013035
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,629457451.903668
Solomon Islands,SLB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,608712649.067167
