country,country_code,indicator,indicator_code,year,value
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1960,1609999356.64426
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1961,1457399417.62319
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1962,1488199405.31552
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1963,1843799263.21781
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1964,2265199094.82644
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1965,2578798969.51193
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1966,2378599049.51182
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1967,2797198882.23933
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1968,2734198907.41412
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1969,3105198759.16257
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1970,3719798513.56851
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1971,4207225524.24421
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1972,3831688257.0972
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1973,5331308044.63264
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1974,8687019546.23004
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1975,9380741471.68993
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,8750349992.391
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,8135099992.926
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,9519699991.722
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,11984472986.7456
