country,country_code,indicator,indicator_code,year,value
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1960,9661389.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1961,9899372.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1962,10143754.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1963,10395040.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1964,10653397.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1965,10916965.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1966,11183928.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1967,11457328.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1968,11736088.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1969,12013858.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1970,12287110.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1971,12551910.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1972,12809205.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1973,13060916.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1974,13305693.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1975,13548984.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1976,13796770.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1977,14049371.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1978,14310128.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1979,14579614.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1980,14847974.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1981,15099414.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1982,15286567.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1983,15388794.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1984,15441860.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1985,15544154.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1986,15731256.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1987,15916576.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1988,16078621.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1989,16248557.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1990,16352458.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1991,16475354.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1992,16739284.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1993,17025918.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1994,17275773.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1995,17564068.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1996,17905018.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1997,18248200.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1998,18596003.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,1999,18944731.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2000,19293054.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2001,19600362.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2002,19805752.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2003,19951521.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2004,20087605.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2005,20216524.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2006,20352411.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2007,20492545.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2008,20629378.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2009,20756435.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2010,20879089.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2011,21009048.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2012,21169458.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2013,20585000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2014,20778000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2015,20970000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2016,21209000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2017,21453000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2018,21670000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2019,21803000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2020,21919000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2021,22156000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2022,22181000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2023,22037000.0
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,2024,21916000.0
