country,country_code,indicator,indicator_code,year,value
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,7.32689953
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,7.90032959
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,8.21006203
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,8.31724644
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,8.1296196
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,8.1508379
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,8.05226612
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,7.99607754
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,8.20824242
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,8.77037907
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,8.31963825
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,10.41646671
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,10.7351532
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,10.90491486
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,10.9479475
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,10.80418396
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,10.85240364
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,10.78509998
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,10.94106293
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,10.83224297
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,11.33296967
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,11.10180569
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,10.49857044
Sweden,SWE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2023,10.88682365
