country,country_code,indicator,indicator_code,year,value
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1972,12.4838331347971
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1973,11.9216570884352
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1974,10.3348851610215
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1975,12.5235746219723
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1976,13.0467530246007
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1977,12.310532611901
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1978,13.0299054613829
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1979,13.9733408302692
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1980,15.3637383306891
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1981,15.427641545366
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1982,16.3375787862023
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1983,16.1834721936425
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1984,16.3465135949696
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1985,17.0144814042239
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1986,16.3122010462508
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1987,14.9014589905444
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1988,13.1019667757858
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1989,12.5145931480872
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1990,11.7777744148162
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,11.6600937204197
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,11.5032811606639
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,11.3377168656498
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,11.2248820169744
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,10.806868528035
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,11.1850893070415
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,13.2319953463785
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,16.4560305924447
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,19.5492278842697
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,13.5039212437522
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,15.7434569460324
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,20.1914554917214
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,14.8543666875635
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,15.4915595237061
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,15.3149810274229
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,15.0648962132471
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,16.5511413907824
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,17.0589483038353
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,18.411805894126
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,17.4114153723881
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,19.41745835874
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,18.6216196174385
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,19.817256200685
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,19.9952273274915
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,19.3927758672544
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,19.6652964019127
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,19.122663547864
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,19.0196942606136
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,18.6665827342784
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,22.8313574596558
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,25.1329943719962
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,22.2320443948162
Thailand,THA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,20.7664684607695
