country,country_code,indicator,indicator_code,year,value
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,29.93396918562
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,30.028129395218
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,27.8505769606884
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,28.562874251497
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,28.9197324414716
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,29.4329425789787
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,40.4031752240799
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,32.5122178756888
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,37.4760485006169
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,42.4220120462714
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,43.8322711937021
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,42.0730459193122
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,39.2588276782018
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,39.7449582122093
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,44.893098141352
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,46.6677771228933
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,49.2931441654198
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,51.2225068802721
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,49.3819493795441
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,49.823191473546
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,51.6170820097297
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,52.878376373485
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,55.9948766791758
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,55.4893203103736
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,53.5003535486051
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,54.4753052575019
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,56.6426976003131
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,54.1589184045774
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,51.1686439927907
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,49.9142479962203
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,50.9587159917712
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,51.3323027091522
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,54.4855197050788
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,55.7900164518172
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,51.9054004247779
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,61.7172292872421
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,61.211871946742
Ukraine,UKR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,60.6158989452331
