country,country_code,indicator,indicator_code,year,value
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1970,1970398426.43982
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1971,2716894254.07974
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1972,533353862.867351
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1973,-2411629487.30157
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1974,-7448453413.84724
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1975,-3465069948.2282
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-1380238419.49781
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,145041980.632989
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,2163486629.48547
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-782636743.68548
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,6861992454.99429
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,14126907663.537
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,7984708624.95621
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,5291692208.22877
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,1833423998.03177
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,3314271039.14456
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-1323753956.88237
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-12589592392.4576
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-35326156228.2508
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-43108544486.4911
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-38810922316.9436
United Kingdom,GBR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-19021852919.3948
