country,country_code,indicator,indicator_code,year,value
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,73.611
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,74.217
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,74.767
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,75.309
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,75.844
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,76.369
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,76.888
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,77.398
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,77.901
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,78.394
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,78.88
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,79.321
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,79.743
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,80.158
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,80.567
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,80.969
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,81.366
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,81.755
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,82.139
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,82.516
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,82.887
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,83.313
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,83.759
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,84.194
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,84.621
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,85.038
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,85.445
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,85.843
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,86.233
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,86.613
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,86.984
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,87.328
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,87.542
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,87.752
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,87.96
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,88.164
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,88.366
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,88.564
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,88.759
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,88.952
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,89.142
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,89.329
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,89.51
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,89.686
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,89.86
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,90.031
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,90.2
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,90.366
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,90.53
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,90.691
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,90.849
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,90.99
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,91.121
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,91.249
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,91.377
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,91.503
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,91.627
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,91.749
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,91.87
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,91.991
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,92.111
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,92.229
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,92.347
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,92.463
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,92.579
