country,country_code,indicator,indicator_code,year,value
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,635.355327502517
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,572.740260900977
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,356.350780006933
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,347.870644720878
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,390.879964297655
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,443.924860857976
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,487.068624404558
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,505.035887057966
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,590.239947333459
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,582.669886150895
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,593.450581742282
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,659.588988535629
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,742.651118319819
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,882.030167695474
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,1130.08791444158
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,1557.48458908655
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,2041.65267068997
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,2962.70234594569
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,3777.66859313767
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,2820.5926553347
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,3041.34450723339
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,3349.55309771906
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,3511.56399687426
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,3680.16692158886
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,3852.11800610384
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,3512.39350276709
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,3524.42476874707
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,3869.05373867752
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,4196.00562301769
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,4597.22887399548
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,4268.68093304583
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,4685.17997128509
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,6571.97445545099
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,8125.27395754003
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,8500.60522486719
