country,country_code,indicator,indicator_code,year,value
Armenia,ARM,"Population, total",SP.POP.TOTL,1960,1863705.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1961,1927484.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1962,1991689.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1963,2056023.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1964,2120135.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1965,2183635.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1966,2246159.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1967,2307492.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1968,2367319.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1969,2424030.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1970,2475633.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1971,2525345.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1972,2577079.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1973,2630860.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1974,2686445.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1975,2743660.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1976,2818165.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1977,2912827.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1978,3012807.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1979,3078501.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1980,3107415.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1981,3135349.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1982,3163144.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1983,3191539.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1984,3224547.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1985,3260432.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1986,3294847.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1987,3328520.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1988,3355125.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1989,3443100.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1990,3552128.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1991,3613977.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1992,3571861.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1993,3453332.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1994,3364610.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1995,3307581.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1996,3278735.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1997,3246289.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1998,3208401.0
Armenia,ARM,"Population, total",SP.POP.TOTL,1999,3167286.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2000,3221100.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2001,3211800.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2002,3199800.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2003,3182500.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2004,3164900.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2005,3146400.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2006,3127100.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2007,3107400.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2008,3087100.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2009,3066000.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2010,3044800.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2011,3027900.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2012,3024100.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2013,3022000.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2014,3013800.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2015,3004600.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2016,2992300.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2017,2979400.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2018,2969000.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2019,2962500.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2020,2961500.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2021,2962300.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2022,2969200.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2023,2964300.0
Armenia,ARM,"Population, total",SP.POP.TOTL,2024,3033500.0
