country,country_code,indicator,indicator_code,year,value
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1975,16.0140859459333
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1976,17.613016454889
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1977,18.2350975580789
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1978,18.893630031969
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1979,18.6902024771935
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1980,17.0088408644401
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1981,16.9454707719768
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1982,16.5954720205041
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1983,17.7152051488335
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1984,18.2059800664452
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1985,15.8871252204586
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1986,14.4490844844202
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1987,13.6231038506418
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1988,14.0537575425123
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1989,13.360594795539
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,18.7052137385718
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,17.3941929133858
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,15.2503832396525
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,14.6120481927711
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,14.35636699792
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,14.9450549450549
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,14.9179638199411
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,16.0417910447761
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,15.6124249911754
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,15.2939194879569
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,15.3064226180748
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,14.6914388606973
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,14.4197650088524
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,15.7049384639352
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,15.0878211641748
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,14.9456735174761
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,16.2232839435553
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,14.723406023603
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,15.1245152189883
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,15.4080285848763
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,14.5118222927177
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,15.1148066077397
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,14.6967350769717
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,14.6403370085124
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,14.3515969795396
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,14.4271779180173
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,13.8904385424109
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,13.8367970386892
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2018,13.5322840151688
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,13.2389093286305
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2020,13.4990577108304
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2021,13.9465704706384
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2022,13.9791701009868
Barbados,BRB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2023,13.2468225341842
