country,country_code,indicator,indicator_code,year,value
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,116300000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,113800000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,108300000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,126950000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,161250000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,188500000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,188400000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,223600000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,244500000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,250500000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,231850000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,230602000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,229510000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,282905000.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,290907500.0
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,364949417.525375
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,467658722.31075
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,468020205.897375
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,490485755.773959
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,510452424.335
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,465054151.907966
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,544213649.4343
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,597872245.11285
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,634717661.046885
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,788239253.844506
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,620512128.6433
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,647223347.839414
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,778175075.051306
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,836979649.888965
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,875907313.140814
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,925532396.164104
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,961264733.302456
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,916128466.482427
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,847365602.750402
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,917235592.676867
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,968501300.871946
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,731431929.970358
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,956086049.818233
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,1223635879.38002
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,1265415549.92276
Belize,BLZ,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,1362002496.69816
