country,country_code,indicator,indicator_code,year,value
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,100.0
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,100.0
