country,country_code,indicator,indicator_code,year,value
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,3.06
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,3.097
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,3.134
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,3.171
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,3.318
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,3.839
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,4.437
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,5.124
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,5.912
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,6.81
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,7.834
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,8.998
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,9.695
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,10.381
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,11.11
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,11.884
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,12.705
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,13.572
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,14.489
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,15.457
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,16.479
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,17.552
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,19.489
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,21.723
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,24.139
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,26.724
Botswana,BWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,29.483
