country,country_code,indicator,indicator_code,year,value
Canada,CAN,"Population, total",SP.POP.TOTL,1960,17909356.0
Canada,CAN,"Population, total",SP.POP.TOTL,1961,18271000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1962,18614000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1963,18964000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1964,19325000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1965,19678000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1966,20048000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1967,20412000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1968,20744000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1969,21028000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1970,21324000.0
Canada,CAN,"Population, total",SP.POP.TOTL,1971,21962032.0
Canada,CAN,"Population, total",SP.POP.TOTL,1972,22218463.0
Canada,CAN,"Population, total",SP.POP.TOTL,1973,22491777.0
Canada,CAN,"Population, total",SP.POP.TOTL,1974,22807969.0
Canada,CAN,"Population, total",SP.POP.TOTL,1975,23143275.0
Canada,CAN,"Population, total",SP.POP.TOTL,1976,23449808.0
Canada,CAN,"Population, total",SP.POP.TOTL,1977,23725843.0
Canada,CAN,"Population, total",SP.POP.TOTL,1978,23963203.0
Canada,CAN,"Population, total",SP.POP.TOTL,1979,24201544.0
Canada,CAN,"Population, total",SP.POP.TOTL,1980,24515667.0
Canada,CAN,"Population, total",SP.POP.TOTL,1981,24819915.0
Canada,CAN,"Population, total",SP.POP.TOTL,1982,25116942.0
Canada,CAN,"Population, total",SP.POP.TOTL,1983,25366451.0
Canada,CAN,"Population, total",SP.POP.TOTL,1984,25607053.0
Canada,CAN,"Population, total",SP.POP.TOTL,1985,25842116.0
Canada,CAN,"Population, total",SP.POP.TOTL,1986,26100278.0
Canada,CAN,"Population, total",SP.POP.TOTL,1987,26446601.0
Canada,CAN,"Population, total",SP.POP.TOTL,1988,26791747.0
Canada,CAN,"Population, total",SP.POP.TOTL,1989,27276781.0
Canada,CAN,"Population, total",SP.POP.TOTL,1990,27691138.0
Canada,CAN,"Population, total",SP.POP.TOTL,1991,28037420.0
Canada,CAN,"Population, total",SP.POP.TOTL,1992,28371264.0
Canada,CAN,"Population, total",SP.POP.TOTL,1993,28684764.0
Canada,CAN,"Population, total",SP.POP.TOTL,1994,29000663.0
Canada,CAN,"Population, total",SP.POP.TOTL,1995,29302311.0
Canada,CAN,"Population, total",SP.POP.TOTL,1996,29610218.0
Canada,CAN,"Population, total",SP.POP.TOTL,1997,29905948.0
Canada,CAN,"Population, total",SP.POP.TOTL,1998,30155173.0
Canada,CAN,"Population, total",SP.POP.TOTL,1999,30401286.0
Canada,CAN,"Population, total",SP.POP.TOTL,2000,30685730.0
Canada,CAN,"Population, total",SP.POP.TOTL,2001,31020855.0
Canada,CAN,"Population, total",SP.POP.TOTL,2002,31359199.0
Canada,CAN,"Population, total",SP.POP.TOTL,2003,31642461.0
Canada,CAN,"Population, total",SP.POP.TOTL,2004,31938807.0
Canada,CAN,"Population, total",SP.POP.TOTL,2005,32242732.0
Canada,CAN,"Population, total",SP.POP.TOTL,2006,32571193.0
Canada,CAN,"Population, total",SP.POP.TOTL,2007,32888886.0
Canada,CAN,"Population, total",SP.POP.TOTL,2008,33247298.0
Canada,CAN,"Population, total",SP.POP.TOTL,2009,33630069.0
Canada,CAN,"Population, total",SP.POP.TOTL,2010,34005902.0
Canada,CAN,"Population, total",SP.POP.TOTL,2011,34339221.0
Canada,CAN,"Population, total",SP.POP.TOTL,2012,34713395.0
Canada,CAN,"Population, total",SP.POP.TOTL,2013,35080992.0
Canada,CAN,"Population, total",SP.POP.TOTL,2014,35434066.0
Canada,CAN,"Population, total",SP.POP.TOTL,2015,35704498.0
Canada,CAN,"Population, total",SP.POP.TOTL,2016,36110803.0
Canada,CAN,"Population, total",SP.POP.TOTL,2017,36545075.0
Canada,CAN,"Population, total",SP.POP.TOTL,2018,37072620.0
Canada,CAN,"Population, total",SP.POP.TOTL,2019,37618495.0
Canada,CAN,"Population, total",SP.POP.TOTL,2020,38028638.0
Canada,CAN,"Population, total",SP.POP.TOTL,2021,38239864.0
Canada,CAN,"Population, total",SP.POP.TOTL,2022,38935934.0
Canada,CAN,"Population, total",SP.POP.TOTL,2023,40083484.0
Canada,CAN,"Population, total",SP.POP.TOTL,2024,41288599.0
