country,country_code,indicator,indicator_code,year,value
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,29.3114300877529
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,29.3293728575983
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,28.5700359301451
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,30.8711017267223
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,40.8557991891824
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,42.740209795442
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,43.231643579841
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,42.7610872146136
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,42.9438787890876
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,43.0085884398546
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,40.1295759610892
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,39.0027421513241
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,42.4647199982968
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,42.4276300000596
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,40.5107724497781
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,40.4701889839105
