country,country_code,indicator,indicator_code,year,value
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.32374382
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,4.64501858
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,4.6531105
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,4.84617901
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,4.74520159
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,4.97772503
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,4.78092194
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,4.79109955
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,5.04968786
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,4.98329306
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,5.15711927
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,5.33450365
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,5.79509926
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,5.34749842
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,5.26141691
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,5.15941811
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,5.12308073
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,5.46245432
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,6.18495989
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,5.16903925
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,6.12651205
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,6.31661367
Dominica,DMA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,6.31969738
