country,country_code,indicator,indicator_code,year,value
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1962,37253333.3333333
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1963,44266666.6666667
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1964,51915000.0
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1965,64748333.3333333
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1966,69110000.0
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1967,72317446.9327193
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1968,67514285.7142857
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1969,67225714.2857143
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1970,66331428.5714286
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1971,64946954.756798
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1972,65429198.238708
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1973,81203226.9138345
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1974,94159862.7073691
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1975,104295643.388437
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1976,103653049.93797
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1977,103987520.075827
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1980,50642880.7737503
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1981,36731422.8456914
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1982,44294647.733479
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1983,44442456.94764
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1984,50320914.4065688
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1985,62118569.9654481
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1986,76407395.8727542
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1987,93345859.52973
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1988,100534656.881732
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1989,88265974.861049
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1990,112119411.489965
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1991,110906028.536862
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1992,134707183.84662
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1993,136047906.245408
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1994,100807002.540195
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1995,141853360.867855
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1996,232463022.802961
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1997,442337870.69437
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1998,370687634.425712
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1999,621117885.668503
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2000,1045998496.43872
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2001,1461139022.02954
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2002,1806742742.27311
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2003,2484745935.09329
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2004,4410764338.66733
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2005,8217369092.65224
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2006,10086528698.8604
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2007,13071718758.7373
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,2008,19749893536.3204
