country,country_code,indicator,indicator_code,year,value
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,551088717.452831
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,954689512.272269
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,1391660497.77348
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,1995828517.92909
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,2452598681.13891
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,2901131957.38095
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,3093474607.4963
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,2605215741.08171
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,2815986132.10103
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,3109762437.63665
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,3705254238.71666
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,5087993010.64009
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,6569623887.47474
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,7650476883.28925
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,9979557772.4374
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,12879297768.2628
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,13638751917.5834
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,8399233175.38186
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,10445382753.9713
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,14952616112.2534
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,15440881361.9759
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,15878075637.9984
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,16020981563.5693
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,12899630440.8822
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,13417751703.0979
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,14728799344.6255
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,16418566675.364
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,16042696346.8672
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,15675031131.6473
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,21003764489.4995
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,24572327896.5964
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,21938665692.5305
Estonia,EST,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,22032747077.7326
