country,country_code,indicator,indicator_code,year,value
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,75.3396090705961
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,76.7301966411733
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,77.7901849782504
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,79.1726343703284
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,83.8368648270969
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,88.8500294110243
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,93.1549467874985
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,96.0864747436757
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,99.4743651000667
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,102.280177675035
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,109.430466337285
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,112.736674296624
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,119.839997124757
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,134.935511021947
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,147.855722504485
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,144.280537635495
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,151.95618662171
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,170.40414371556
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,178.302480574913
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,192.357117273999
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,203.685394440965
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,212.657517980298
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,215.25098547162
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,232.683474421159
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,214.228860396002
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,243.897382584019
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,245.977228769295
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,254.121329421554
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,253.248262470167
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,256.386475306315
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,262.108971053707
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,277.565910365091
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,207.406400863847
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,168.520401400989
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,127.685923459033
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,136.523619088963
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,147.327458851964
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,143.369531498844
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,126.465095781244
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,120.734631499865
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,122.269202606069
