country,country_code,indicator,indicator_code,year,value
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,1160200000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,1092400000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,1221400000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,1519800000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,1291300000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,1170400000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,1091700000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,1132200000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,1059700000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,1043800000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,977900000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,1073300000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,1126100000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,1211400000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,1230000000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,1283700000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,1363200000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,1550100000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,1991000000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,2061300000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,2390700000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,2561900000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,2492900000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,2713000000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,2464772781.1
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,2473154944.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,2631743683.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,5105100000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,5459500000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,6082100000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,6983200000.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,6763967850.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,6181335510.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,7195611440.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,8968698780.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,8579639570.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,8663107030.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,9375330050.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,9084883040.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,8972542240.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,9650544060.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,9644081760.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,9918523510.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,10126634020.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,12361461010.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,14254220830.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,13047500260.0
Guatemala,GTM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,13329123280.0
