country,country_code,indicator,indicator_code,year,value
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1990,2841258.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1991,2890794.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1992,2881959.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1993,2927654.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1994,3002840.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1995,3075031.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1996,3217627.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1997,3245999.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1998,3285298.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,1999,3322073.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2000,3358981.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2001,3416906.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2002,3464010.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2003,3447305.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2004,3493354.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2005,3528607.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2006,3575148.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2007,3626034.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2008,3633423.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2009,3651728.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2010,3626540.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2011,3698563.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2012,3773047.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2013,3837047.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2014,3854786.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2015,3899877.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2016,3921737.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2017,3953897.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2018,3996403.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2019,3987130.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2020,3914381.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2021,3872131.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2022,3786090.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2023,3862575.0
"Hong Kong SAR, China",HKG,"Labor force, total",SL.TLF.TOTL.IN,2024,3835727.0
