country,country_code,indicator,indicator_code,year,value
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,57.1535933746924
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,58.4702028236781
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,57.2533614826864
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,60.5557134424939
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,61.7453320286887
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,62.5222622146389
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,63.3577534281317
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,63.8778162128089
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,63.8782946304647
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,65.7453432648681
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,65.617527685442
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,64.2416981310858
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,64.466581747768
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,64.6583862018319
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,64.7508220118514
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,66.4662878316978
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,68.1390609555653
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,66.5416067752678
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,65.8655341895153
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,65.4468445187143
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,64.2717387661162
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,63.637141895437
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,61.8439009518117
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,61.2455599880748
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,59.7766256381842
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,59.2492000250586
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,59.810901364791
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,59.7396040932866
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,58.223551602805
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,58.3284888430595
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,60.138911478248
Jamaica,JAM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,60.2603367346775
