country,country_code,indicator,indicator_code,year,value
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,1088345891.90556
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,1179220769.81438
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,1311283809.07411
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,1293125509.54216
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,1320435451.37032
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,1418411754.89408
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,1403724090.79746
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,1343305445.61098
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,1278298977.93785
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,1196814090.4953
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,1309458635.56791
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,1146973877.11709
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,1071605402.31201
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,1261996023.73545
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,1827466854.92048
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,2063226776.65957
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,2648252691.26894
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,2918265945.16107
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,3144058994.10066
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,3021626222.1417
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,3918541717.92583
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,3875279049.21228
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,4162374490.61775
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,3774500094.99314
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,3826834504.72134
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,3210644829.16989
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,3197456551.04571
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,3743236986.18695
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,4189938416.54528
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,3880672248.45564
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,3198764473.91067
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,3671492581.03557
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,4391615728.73914
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,4659061068.52302
Namibia,NAM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,4599128166.75411
