country,country_code,indicator,indicator_code,year,value
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,23.3097872531234
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,24.0931550904061
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,20.640522976146
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,20.2928431382039
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,19.4899393804748
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,20.2094774269534
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,19.118463225618
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,19.611178565318
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,19.5680948618877
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,21.6318157351553
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,24.11925081065
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,20.6382344606801
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,21.509703990026
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,23.3646681452343
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,24.8888174139574
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2005,24.4990237729309
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2006,27.9138444462876
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2007,31.8496205183584
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2008,23.9310585837203
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2009,22.5914611629952
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2010,26.1623678837555
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2011,25.3064766036566
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2012,22.779124022177
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2013,22.582512520502
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2014,23.9317062447332
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2015,22.1000359642571
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2016,20.1611154111133
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2017,21.2465805302539
New Caledonia,NCL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2019,22.3267326732673
