country,country_code,indicator,indicator_code,year,value
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,12850309726.6231
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,12464772311.2563
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,14386535121.8874
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,17411671800.6255
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,22190033682.8869
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,25056852917.2233
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,25006521634.879
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,29489030865.3236
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,33228753129.7412
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,24269876540.7344
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,29725118261.5021
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,35906800585.6922
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,37594807312.3938
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,38674691221.6356
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,41000224270.2364
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,35786384867.006
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,35560210896.452
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,39787803636.0827
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,43439684500.7663
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,42124582220.268
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,36801248037.7272
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,49229971560.6396
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,53924802437.0594
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,49970386931.1633
New Zealand,NZL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,48531180110.2397
