country,country_code,indicator,indicator_code,year,value
Pakistan,PAK,"Population, total",SP.POP.TOTL,1960,45709310.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1961,46921277.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1962,48156128.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1963,49447776.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1964,50799999.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1965,52209010.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1966,53678667.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1967,55214768.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1968,56810507.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1969,58460939.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1970,60166719.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1971,61847899.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1972,63583194.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1973,65461912.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1974,67415487.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1975,69461175.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1976,71620254.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1977,73901827.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1978,76307379.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1979,78997039.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1980,82291010.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1981,85802049.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1982,89089246.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1983,92227711.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1984,95164936.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1985,98229285.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1986,101606764.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1987,105130717.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1988,108724739.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1989,112336629.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1990,116155576.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1991,120060406.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1992,123546848.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1993,127020117.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1994,130748083.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1995,134582253.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1996,138557092.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1997,142531804.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1998,146522356.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,1999,150565377.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2000,154879127.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2001,159270907.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2002,163222549.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2003,167110248.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2004,171286000.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2005,175453212.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2006,179682690.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2007,184493231.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2008,189499113.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2009,194376534.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2010,199239047.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2011,203746065.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2012,207667125.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2013,211073978.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2014,214264647.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2015,217290883.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2016,220138869.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2017,223273967.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2018,226928892.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2019,230800899.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2020,235001746.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2021,239477801.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2022,243700667.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2023,247504495.0
Pakistan,PAK,"Population, total",SP.POP.TOTL,2024,251269164.0
