country,country_code,indicator,indicator_code,year,value
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,1941607508.19525
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,1824567191.76878
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,2564467180.73775
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,2781934256.32586
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,3608188712.57622
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,4667869888.83505
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,4184643589.03703
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,4194101943.39272
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,4646210852.00266
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,5246497630.32966
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,5749073582.04903
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,7264817158.49491
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,9334525116.72304
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,11015033400.099
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,12842577780.6716
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,16457895135.5298
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,16390748441.3385
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,18348132040.6557
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,15780789828.9898
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,18434451064.4073
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,23809532696.1867
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,24703612347.4898
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,23947214699.6938
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,24850611320.9586
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,24507448185.8611
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,24230391758.1583
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,24112883791.46
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,26333142627.8428
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,33106614150.7282
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,38008457917.6406
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,38646941792.6498
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,45040147043.299
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,52087914237.515
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,56912938988.7191
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,43882162468.3362
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,48937557705.0503
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,58888388804.633
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,56958651124.0785
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,61760155038.8982
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,62826690547.4873
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,54279489094.7895
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,54368465326.7926
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,60238771836.7775
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,66383268465.5128
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,64862951739.5285
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,59638766800.2663
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,73448878655.9884
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,79977884834.5782
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,80359176450.9894
Portugal,PRT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,81937268495.8529
