country,country_code,indicator,indicator_code,year,value
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1974,17336945.4703453
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,7062531.19711034
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,8230484.43965387
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,22999051.284992
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,22945825.5739645
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,26587039.8971175
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,16979472.2445204
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,7198017.06021296
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,8792982.74504013
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,8633477.89763524
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,12221836.2132112
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,7068811.12410069
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,9886233.87777434
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,6520790.91844903
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,9509709.30008107
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,4913683.6786053
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,4220000.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,5300000.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,4740000.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,3900000.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,2690000.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,3284921.11808
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,6177303.52
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,6568600.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,5439600.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,6790804.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,7710857.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,6810434.16223675
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,7831400.0
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,9206153.06
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,10933960.7677869
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,10944716.8309687
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,15123831.4632269
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,12887099.1252258
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,17219459.322599
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,11306367.4623052
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,13644241.8900439
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,15590436.4653403
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,16027934.2965568
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,13148547.5343058
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,13931154.3025916
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,20790920.8309108
Sao Tome and Principe,STP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,21861603.2787912
