country,country_code,indicator,indicator_code,year,value
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,428.056183371291
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,449.148136820776
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,472.082740153988
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,511.202235371449
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,485.530686047381
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,516.531928636745
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,566.803974405961
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,626.029437593984
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,708.601436896422
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,812.677487316618
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,925.797864348214
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,1071.41154035538
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,1264.37510720987
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,1685.45979632163
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,2341.70551423633
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,2489.91157517591
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,2758.94038028476
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,2846.33598832854
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,3193.90565722355
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,3900.53355310873
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,4928.13911785754
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,5596.58597723068
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,6077.63424070932
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,6633.23667366491
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,7228.31758410647
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,7001.7667477117
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,6799.93036332671
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,7539.02930212443
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,8914.44122574729
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,10394.5389962406
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,11861.7561591366
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,14502.3799938606
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,16136.2405377661
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,18290.130113185
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,21552.4100366948
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,24914.8507020358
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,26232.866096827
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,26375.8653668113
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,21829.2737831583
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,21796.6373891001
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,23852.8389514753
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,21699.7414868907
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,22159.8373710639
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,23730.3840054566
