country,country_code,indicator,indicator_code,year,value
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,5611700000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,4918300000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,5919400000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,7337300000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,7369900000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,7518500000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,8211400000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,7859300000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,8760700000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,9286800000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,10423000000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,12850400000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,16006500000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,18074600000.0
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,21773957863.5025
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,27567017360.9776
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,29556395400.2694
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,22716656633.6826
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,24678824415.582
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,29298353461.4804
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,27313355358.0535
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,28754693017.0319
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,30352816552.2317
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,26566954535.7931
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,27537204187.7262
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,32080550351.876
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,36376509125.4317
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,35830422177.1621
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,33863930578.3807
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,41669931778.1791
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,44854614944.9522
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,44781410904.7291
Slovenia,SVN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,45636500300.3085
