country,country_code,indicator,indicator_code,year,value
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1989,4515.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1990,5030.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1991,1313.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1992,1083.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1993,942.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1994,337.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1995,1036.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1996,2289.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1997,3859.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1998,4891.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,1999,1408.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2000,2841.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2001,3457.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2002,2312.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2003,2008.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2004,3671.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2005,246.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2006,1030.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2007,217.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2008,620.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2009,373.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2010,1054.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2011,1404.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2012,1411.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2013,594.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2014,849.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2015,1264.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2016,1309.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2017,160.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2018,243.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2020,45.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2021,31.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2022,54.0
Sudan,SDN,Battle-related deaths (number of people),VC.BTL.DETH,2023,5315.0
