country,country_code,indicator,indicator_code,year,value
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,2402000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,2203500000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,3055100000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,4009700000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,4404000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,3635500000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,4024000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,3687200000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,3945700000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,2363200000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,2225800000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,1986300000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,1820600000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,2062400000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,2354000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,2941000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,3512000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,4604000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,4004000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,4516000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,3603000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,3320000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,3590000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,3723000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,4282000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,4458000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,4382000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,6957000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,8742000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,9359000000.0
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,12276793013.972
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,16107236177.2359
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,13932561663.9357
Syrian Arab Republic,SYR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,15875729420.1912
