country,country_code,indicator,indicator_code,year,value
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,-0.765864332603765
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,7.38699007717708
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,3.69609856262894
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,-0.792079207921113
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,0.166333998420151
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,4.03520425067445
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,4.30965682357132
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,1.79035960223026
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,2.45039085983097
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,-0.0880410855462474
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,0.484652665370795
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,4.83776673497427
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,15.5095497002706
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,24.3135598335014
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,5.33009708749865
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,4.14930555494793
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,7.60126687769031
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,7.92408985303786
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1979,9.89736596559918
Thailand,THA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1980,19.703500522778
