country,country_code,indicator,indicator_code,year,value
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,319400000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,228800000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,347100000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,367700000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,407300000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,347800000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,406800000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,333600000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,266300000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,277700000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,177800000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,173200000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,151200000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,200000000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,463000000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,560300000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,639330000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,592620000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,510200000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,483500000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,449900000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,467237907.73
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,478169944.69
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,572217735.780241
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,759123292.303551
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,1015857576.2569
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,1175873033.07
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,1764969158.39609
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,2207628743.33645
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,2326561994.33952
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,2163974070.52818
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,2519126642.63771
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,2810480876.78364
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,2828714739.59046
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,2724773132.7444
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,2667186166.80386
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,2921246770.87465
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,3449910974.92032
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,3636182324.3842
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,4095650000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,4461290000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,4493850000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,4275480000.0
Uganda,UGA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,7003120000.0
