country,country_code,indicator,indicator_code,year,value
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1960,1.45797598627791
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1961,1.07072414764724
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1962,1.19877334820186
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1963,1.23966942148753
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1964,1.27891156462591
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1965,1.58516926383662
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1966,3.0150753768844
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1967,2.77278562259309
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1968,4.27179615288537
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1969,5.46238620028745
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1970,5.83825533848251
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1971,4.29276668813051
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1972,3.27227824655283
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1973,6.17776006377038
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1974,11.0548048048048
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1975,9.14314686496535
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1976,5.74481263549085
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1977,6.5016839947284
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1978,7.63096383885606
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1979,11.2544711292795
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1980,13.5492019749684
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1981,10.3347153402771
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1982,6.13142700027493
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1983,3.21243523316065
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1984,4.30053547523429
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1985,3.54564415209365
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1986,1.89804772234276
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1987,3.6645632175169
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1988,4.07774110744413
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1989,4.82700303008944
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1990,5.39795643990325
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1991,4.23496396453849
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1992,3.02881967814969
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1993,2.95165696638559
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1994,2.60744159215453
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1995,2.80541968853662
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1996,2.93120419993441
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1997,2.33768993730735
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1998,1.55227909874364
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1999,2.18802719697358
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,3.37685727149929
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2001,2.82617111885407
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2002,1.58603162650601
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2003,2.27009497336115
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2004,2.67723669309172
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2005,3.3927468454955
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2006,3.22594410070404
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2007,2.85267248150138
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2008,3.839100296651
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2009,-0.355546266299747
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,1.6400434423899
