country,country_code,indicator,indicator_code,year,value
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.20493
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1961,1547388781.43133
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1962,1710004407.22785
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1963,1539681490.78174
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1964,1975701816.46615
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1965,1890767155.52622
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1966,1809185093.55188
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1967,1597713469.09611
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1968,1593674184.56285
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1969,2004435483.87097
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1970,2137096774.19355
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1971,2807258064.51613
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1972,2189418688.80408
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1973,3964296443.35254
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1974,4090209681.97172
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1975,3538278046.96236
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1976,3667161241.48372
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1977,4114670014.3472
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1978,4910254565.57831
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1979,7181182224.11227
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1980,10163020115.7344
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1981,11048301420.6301
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1982,9178780076.99713
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1983,5102276308.45313
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1984,4850238549.61832
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1985,4732017873.38369
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1986,5880112788.40947
