country,country_code,indicator,indicator_code,year,value
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1990,63940.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1991,65584.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1992,66911.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1993,67718.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1994,68739.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1995,70617.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1996,72580.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1997,74591.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1998,76797.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,1999,79125.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2000,81632.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2001,84707.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2002,87924.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2003,90943.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2004,94035.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2005,97143.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2006,100201.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2007,99698.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2008,98678.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2009,97111.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2010,94738.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2011,96016.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2012,97169.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2013,98219.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2014,99196.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2015,100128.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2016,101055.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2017,102073.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2018,103194.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2019,104361.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2020,105798.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2021,108101.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2022,112389.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2023,115453.0
Vanuatu,VUT,"Labor force, total",SL.TLF.TOTL.IN,2024,118094.0
