country,country_code,indicator,indicator_code,year,value
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,58.9418105217082
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,61.6577748861418
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,61.1572678479524
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,62.2740335589135
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,63.4547736109111
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,62.0231388710348
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,61.2832634515477
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,61.0367232084987
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,61.7284140562496
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,63.3887236049634
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,63.9322728716187
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,63.5008090163477
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,62.1974276356083
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,61.2816734703737
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,62.720489633119
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,60.8565978479665
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,59.7939883498229
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,62.2038157282457
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,60.4627891240744
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,62.0942690798162
Vanuatu,VUT,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,60.4474724535285
