Date,Value
1988-01-01,6.06
1988-04-01,6.14
1988-07-01,6.24
1988-10-01,6.28
1989-01-01,6.41
1989-04-01,6.44
1989-07-01,6.33
1989-10-01,6.2
1990-01-01,6.38
1990-04-01,6.43
1990-07-01,6.44
1990-10-01,6.44
1991-01-01,6.65
1991-04-01,6.7
1991-07-01,6.7
1991-10-01,6.74
1992-01-01,6.95
1992-04-01,7.21
1992-07-01,7.37
1992-10-01,7.5
1993-01-01,7.78
1993-04-01,7.88
1993-07-01,7.94
1993-10-01,7.99
1994-01-01,7.82
1994-04-01,7.83
1994-07-01,7.94
1994-10-01,7.77
1995-01-01,7.87
1995-04-01,8.02
1995-07-01,8.12
1995-10-01,8.1
1996-01-01,8.19
1996-04-01,8.29
1996-07-01,8.29
1996-10-01,8.18
1997-01-01,8.39
1997-04-01,8.43
1997-07-01,8.51
1997-10-01,8.31
1998-01-01,8.39
1998-04-01,8.59
1998-07-01,8.66
1998-10-01,8.48
1999-01-01,8.66
1999-04-01,8.5
1999-07-01,8.48
1999-10-01,8.35
2000-01-01,8.39
2000-04-01,8.39
2000-07-01,8.57
2000-10-01,8.49
2001-01-01,8.67
2001-04-01,8.77
2001-07-01,8.92
2001-10-01,9.06
2002-01-01,9.26
2002-04-01,9.21
2002-07-01,9.21
2002-10-01,9.15
2003-01-01,9.14
2003-04-01,9.01
2003-07-01,9.07
2003-10-01,9.05
2004-01-01,9.1
2004-04-01,9.17
2004-07-01,9.91
2004-10-01,10.05
2005-01-01,10.05
2005-04-01,10.16
2005-07-01,10.03
2005-10-01,10.02
2006-01-01,10.16
2006-04-01,10.02
2006-07-01,10.23
2006-10-01,10.14
2007-01-01,10.21
2007-04-01,10.03
2007-07-01,10.16
2007-10-01,10.2
2008-01-01,10.05
2008-04-01,10.08
2008-07-01,9.62
2008-10-01,9.35
2009-01-01,10.1
2009-04-01,10.51
2009-07-01,10.87
2009-10-01,10.83
2010-01-01,10.7
2010-04-01,11.03
2010-07-01,11.07
2010-10-01,11.02
2011-01-01,11.14
2011-04-01,11.16
2011-07-01,11.16
2011-10-01,11.04
2012-01-01,11.17
2012-04-01,11.23
2012-07-01,11.29
2012-10-01,11.06
2013-01-01,11.17
2013-04-01,11.05
2013-07-01,10.99
2013-10-01,11.07
2014-01-01,11.14
2014-04-01,11.16
2014-07-01,11.11
2014-10-01,11.06
2015-01-01,11.12
2015-04-01,11.18
2015-07-01,11.29
2015-10-01,11.22
2016-01-01,11.24
2016-04-01,11.26
2016-07-01,11.21
2016-10-01,11.1
2017-01-01,11.15
2017-04-01,11.32
2017-07-01,11.31
2017-10-01,11.24
2018-01-01,11.22
2018-04-01,11.32
2018-07-01,11.3
2018-10-01,11.28
2019-01-01,11.38
2019-04-01,11.48
2019-07-01,11.35
2019-10-01,11.34
2020-01-01,10.45
2020-04-01,10.16
2020-07-01,10.3
