country,country_code,indicator,indicator_code,year,value
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,36.1511545995992
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,37.4448038407261
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,41.1108953364243
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,39.0077871841904
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,39.8310243252872
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,40.294685221301
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,45.4098308716488
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,45.2444349261482
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,48.8793769096891
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,49.6968203962567
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,50.5793979236606
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,52.6827434733525
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,52.9908650351499
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,53.2352934986503
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,59.0232164144095
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,58.3290500097748
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,59.4774229106653
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,55.4728067408306
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,52.5721090890613
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,47.160422387969
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,45.0499087998591
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,46.3743698691993
