country,country_code,indicator,indicator_code,year,value
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,367200000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,418000000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,359900000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,341000000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,319100000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,303500000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,311300000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,311200000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,344600000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,393700000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,322100000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,73000000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,70000000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,111600000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,141300000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,204900000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,243700000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,90900000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,100670000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,91700000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,95200000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,109500000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,85180000.0
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,100716315.535505
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,149032362.106163
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,194117835.566333
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,223619399.423827
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,359838411.991624
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,546214691.484925
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,403524040.622965
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,739411255.845597
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,962502319.003512
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,1123281060.92356
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,1417739063.45629
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,1239878797.11332
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,855336790.675651
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,789221582.359357
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,901243616.770574
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,1163648667.07628
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,1014731694.61822
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,908550736.111017
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,1494341012.99278
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,2037015150.22498
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,1984343529.9053
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,1816570404.77673
