country,country_code,indicator,indicator_code,year,value
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,5.95276403
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,5.85823727
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,5.99621153
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,5.54771519
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,5.28846931
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,5.59476948
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,4.96530008
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,4.92347288
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,5.67066383
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,6.08094168
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,7.67537737
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,7.62060833
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,6.71083689
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,6.79964209
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,6.77308035
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,6.91586447
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,6.90521765
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,7.07142639
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,7.37541723
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,7.323246
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,8.78673935
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,8.33450699
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,7.53678846
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2023,7.92821121
