country,country_code,indicator,indicator_code,year,value
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,33.0616104906329
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,25.1524548978866
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,30.2402406688035
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,31.9315282885985
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,20.9923708578417
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,22.2123554945612
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,26.9598114360045
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,37.9075789655613
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,41.1829874636929
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,40.3474731127873
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,35.5267258263529
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,37.1568468383723
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,34.6118783461354
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,34.3382017589612
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,48.9906714059621
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,41.887025816932
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,39.0758307473749
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,39.6049455482436
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,42.7849146737659
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,46.8139275295854
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,48.6598885686327
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,46.980995527677
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,46.7626248264264
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,43.2069096122475
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,42.123209005715
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,44.3955921450617
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,40.9337415818833
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,41.1747693679878
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,39.7695875379141
Angola,AGO,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,39.3498723748383
